fase,nome,data,alvo_tema_principal
1,,2014-03,"Lavagem de dinheiro, doleiros em seis estados"
2,,2014-03,"Ex-diretor da Petrobras Paulo Roberto Costa"
3,,2014-04,"Buscas na sede da Petrobras"
4,,2014-06,"Prisão de Paulo Roberto Costa"
5,,2014-07,"""Laranjas"" de Alberto Youssef"
6,,2014-08,"Genro de Paulo Roberto Costa"
7,Juízo Final,2014-11,"Presidentes de empreiteiras (Léo Pinheiro, Ricardo Pessoa)"
8,,2015-01,"Nestor Cerveró, ex-diretor internacional da Petrobras"
9,My Way,2015-02,"Empresas de fachada que lavavam dinheiro"
10,Que País é Esse?,2015-03,"Renato Duque e lavagem de dinheiro continuada"
11,A Origem,2015-04,"Ex-agentes políticos, ex-deputado André Vargas"
12,,2015-04,"João Vaccari Neto, tesoureiro do PT"
13,,2015-05,"Milton Pascowitch, propinas a empresa de José Dirceu"
14,Erga Omnes,2015-06,"Odebrecht e Andrade Gutierrez, cartel de empreiteiras"
15,Conexão Mônaco,2015-07,"Jorge Zelada, diretor internacional da Petrobras"
16,Radioatividade,2015-07,"Othon Luiz Pinheiro, Eletronuclear, Angra 3"
17,Pixuleco,2015-08,"José Dirceu, ex-ministro da Casa Civil"
18,Pixuleco 2,2015-08,"Alexandre Romano, operador de propinas do PT"
19,Nessun Dorma,2015-09,"Executivos da Engevix, propinas Eletronuclear"
20,Corrosão,2015-11,"Refinaria Abreu e Lima, desvios financeiros"
21,Passe Livre,2015-11,"José Carlos Bumlai, amigo de Lula"
22,,2016-01,"Tríplex do Guarujá, empresas offshore"
23,Acarajé,2016-02,"João Santana, marqueteiro petista"
24,Aletheia,2016-03,"Condução coercitiva de Luiz Inácio Lula da Silva"
25,Polimento,2016-03,"Raul Schmidt Felipe Júnior preso em Lisboa"
26,Xepa,2016-03,"Executivos da Odebrecht, contas offshore"
27,Carbono 14,2016-04,"Silvio Pereira, ex-secretário-geral do PT"
28,Vitória de Pirro,2016-04,"Gim Argello, ex-senador PTB"
29,Repescagem,2016-05,"João Claudio Genu, assessor do deputado José Janene"
30,Vício,2016-05,"Propinas em contratos de tubos da Petrobras"
31,Abismo,2016-07,"Paulo Ferreira, ex-tesoureiro do PT"
32,Caça-Fantasmas,2016-07,"Edson Paulo Fanton, banco panamenho FSB"
